id,run_id,experiment_id,question_id,language,mitigation_enabled,original_query,normalized_query,mitigation_applied,retrieved_document_ids,retrieved_context,generated_answer,faithfulness_score,hallucination_flag,faithfulness_explanation,embedding_model,generator_model,judge_model,started_at,completed_at,error,_exclusion_reason
1,ce0071f3-99ef-4325-92da-3e33042cd23c,english_baseline,DEV-Q01,english,0,How do I activate international roaming on my mobile postpaid connection?,,0,[],,,,,,intfloat/multilingual-e5-base,llama3-8b-8192,llama-3.1-8b-instant,2026-09-16T12:25:45.255203+00:00,2026-09-16T12:28:12.053079+00:00,Groq API key is not configured. Please set GROQ_API_KEY in .env,missing faithfulness score
4,ff81aec4-3624-4b1d-b2a8-21a7e1cd19d4,english_baseline,DEV-Q01,english,0,How do I activate international roaming on my mobile postpaid connection?,,0,[],,,,,,intfloat/multilingual-e5-base,llama3-8b-8192,llama-3.1-8b-instant,2026-09-22T12:13:25.205264+00:00,2026-09-22T12:13:43.431907+00:00,"An unexpected error occurred with Groq API: Error code: 400 - {'error': {'message': 'The model `llama3-8b-8192` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on which model to use instead.', 'type': 'invalid_request_error', 'code': 'model_decommissioned'}}",missing faithfulness score
22,745df4ba-5d5e-46da-bbc7-8ddccff5a0e4,english_baseline,DEV-Q01,english,0,How do I activate international roaming on my mobile postpaid connection?,,0,[],,,,,,intfloat/multilingual-e5-base,llama3-8b-8192,llama-3.1-8b-instant,2026-09-22T12:31:19.448748+00:00,2026-09-22T12:31:36.328959+00:00,"An unexpected error occurred with Groq API: Error code: 400 - {'error': {'message': 'The model `llama3-8b-8192` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on which model to use instead.', 'type': 'invalid_request_error', 'code': 'model_decommissioned'}}",missing faithfulness score
2,e1329dc4-f1e6-463d-8abe-19e546bea366,english_baseline,DEV-Q02,english,0,What documents are required for outward foreign currency wire transfers?,,0,[],,,,,,intfloat/multilingual-e5-base,llama3-8b-8192,llama-3.1-8b-instant,2026-09-16T12:28:12.614010+00:00,2026-09-16T12:28:22.828018+00:00,Groq API key is not configured. Please set GROQ_API_KEY in .env,missing faithfulness score
5,dc927512-9805-451b-9590-6eab6aeed645,english_baseline,DEV-Q02,english,0,What documents are required for outward foreign currency wire transfers?,,0,[],,,,,,intfloat/multilingual-e5-base,llama3-8b-8192,llama-3.1-8b-instant,2026-09-22T12:13:43.948628+00:00,2026-09-22T12:13:44.095723+00:00,"An unexpected error occurred with Groq API: Error code: 400 - {'error': {'message': 'The model `llama3-8b-8192` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on which model to use instead.', 'type': 'invalid_request_error', 'code': 'model_decommissioned'}}",missing faithfulness score
23,4f9f64fe-6b6a-4b42-b253-3ac6269e78b9,english_baseline,DEV-Q02,english,0,What documents are required for outward foreign currency wire transfers?,,0,[],,,,,,intfloat/multilingual-e5-base,llama3-8b-8192,llama-3.1-8b-instant,2026-09-22T12:31:36.875153+00:00,2026-09-22T12:31:37.011614+00:00,"An unexpected error occurred with Groq API: Error code: 400 - {'error': {'message': 'The model `llama3-8b-8192` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on which model to use instead.', 'type': 'invalid_request_error', 'code': 'model_decommissioned'}}",missing faithfulness score
3,1789273f-14a3-48de-b9e3-b592301d63b8,english_baseline,DEV-Q03,english,0,What is the procedure for converting a physical SIM card to an eSIM?,,0,[],,,,,,intfloat/multilingual-e5-base,llama3-8b-8192,llama-3.1-8b-instant,2026-09-16T12:28:23.371596+00:00,2026-09-16T12:28:32.412678+00:00,Groq API key is not configured. Please set GROQ_API_KEY in .env,missing faithfulness score
6,7366a76c-17d5-4e84-9ef4-a954d5559235,english_baseline,DEV-Q03,english,0,What is the procedure for converting a physical SIM card to an eSIM?,,0,[],,,,,,intfloat/multilingual-e5-base,llama3-8b-8192,llama-3.1-8b-instant,2026-09-22T12:13:44.640587+00:00,2026-09-22T12:13:44.772983+00:00,"An unexpected error occurred with Groq API: Error code: 400 - {'error': {'message': 'The model `llama3-8b-8192` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on which model to use instead.', 'type': 'invalid_request_error', 'code': 'model_decommissioned'}}",missing faithfulness score
24,6058dbda-a9af-4970-9b2d-172a9a471ef5,english_baseline,DEV-Q03,english,0,What is the procedure for converting a physical SIM card to an eSIM?,,0,[],,,,,,intfloat/multilingual-e5-base,llama3-8b-8192,llama-3.1-8b-instant,2026-09-22T12:31:37.557772+00:00,2026-09-22T12:31:37.698302+00:00,"An unexpected error occurred with Groq API: Error code: 400 - {'error': {'message': 'The model `llama3-8b-8192` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on which model to use instead.', 'type': 'invalid_request_error', 'code': 'model_decommissioned'}}",missing faithfulness score
7,f2dcb166-9e1e-4070-b70b-935ef8ca3276,english_mitigated,DEV-Q01,english,1,How do I activate international roaming on my mobile postpaid connection?,,0,[],,,,,,intfloat/multilingual-e5-base,llama3-8b-8192,llama-3.1-8b-instant,2026-09-22T12:13:45.318223+00:00,2026-09-22T12:13:45.445949+00:00,"An unexpected error occurred with Groq API: Error code: 400 - {'error': {'message': 'The model `llama3-8b-8192` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on which model to use instead.', 'type': 'invalid_request_error', 'code': 'model_decommissioned'}}",missing faithfulness score
