id,run_id,experiment_id,question_id,language,mitigation_enabled,original_query,normalized_query,mitigation_applied,retrieved_document_ids,retrieved_context,generated_answer,faithfulness_score,hallucination_flag,faithfulness_explanation,embedding_model,generator_model,judge_model,started_at,completed_at,error
1,ce0071f3-99ef-4325-92da-3e33042cd23c,english_baseline,DEV-Q01,english,0,How do I activate international roaming on my mobile postpaid connection?,,0,[],,,,,,intfloat/multilingual-e5-base,llama3-8b-8192,llama-3.1-8b-instant,2026-09-16T12:25:45.255203+00:00,2026-09-16T12:28:12.053079+00:00,Groq API key is not configured. Please set GROQ_API_KEY in .env
4,ff81aec4-3624-4b1d-b2a8-21a7e1cd19d4,english_baseline,DEV-Q01,english,0,How do I activate international roaming on my mobile postpaid connection?,,0,[],,,,,,intfloat/multilingual-e5-base,llama3-8b-8192,llama-3.1-8b-instant,2026-09-22T12:13:25.205264+00:00,2026-09-22T12:13:43.431907+00:00,"An unexpected error occurred with Groq API: Error code: 400 - {'error': {'message': 'The model `llama3-8b-8192` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on which model to use instead.', 'type': 'invalid_request_error', 'code': 'model_decommissioned'}}"
22,745df4ba-5d5e-46da-bbc7-8ddccff5a0e4,english_baseline,DEV-Q01,english,0,How do I activate international roaming on my mobile postpaid connection?,,0,[],,,,,,intfloat/multilingual-e5-base,llama3-8b-8192,llama-3.1-8b-instant,2026-09-22T12:31:19.448748+00:00,2026-09-22T12:31:36.328959+00:00,"An unexpected error occurred with Groq API: Error code: 400 - {'error': {'message': 'The model `llama3-8b-8192` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on which model to use instead.', 'type': 'invalid_request_error', 'code': 'model_decommissioned'}}"
40,a22955f1-e8ab-421d-a0b9-b7ad6b7ec800,english_baseline,DEV-Q01,english,0,How do I activate international roaming on my mobile postpaid connection?,,0,"[""a10c7fc9f1613ba3_c0"", ""ef57775e6583affc_c0"", ""933fe29da7866ce5_c0"", ""4a59037b0e30a112_c0"", ""db2baa301da17199_c0""]","Please answer the following query based only on the context provided below.

<context>
--- Document 1 ---
Question: How do I activate international roaming on my mobile postpaid connection?
Answer: International roaming can be enabled through the self-care mobile portal under 'Manage Services' or by texting 'ACT IR' to 199 at least 4 hours before scheduled departure.

--- Document 2 ---
Question: What is the procedure for converting a physical SIM card to an eSIM?
Answer: Submit an eSIM upgrade request through the mobile app. You will receive a QR code via your verified email address. Scan this QR code in your device Cellular Settings while connected to Wi-Fi.

--- Document 3 ---
Question: Do I need a new SIM card to access 5G network speeds?
Answer: No new SIM card is required if you already possess a 4G LTE SIM card. You only need a 5G-compatible device with enabled 5G network mode in areas covered by 5G transmission towers.

--- Document 4 ---
What documents are required for outward foreign currency wire transfers?

Outward remittances under the Liberalised Remittance Scheme (LRS) require submission of Form A2, a signed declaration of remittance purpose, valid passport copy, recipient bank SWIFT code, and Permanent Account Number (PAN) card verification.

--- Document 5 ---
Question: What is the notice period for terminating a broadband connection?
Answer: Broadband connection cancellation requires a written notice of 15 calendar days submitted via the customer portal or at an authorized regional experience center.
</context>

Query: How do I activate international roaming on my mobile postpaid connection?
","International roaming can be enabled in two ways:

1. Log in to the self‑care mobile portal and go to **Manage Services** to activate roaming.  
2. Text **“ACT IR”** to **199** at least 4 hours before your scheduled departure.",1.0,0,The answer repeats the exact information from Document 1: it states that international roaming can be enabled via the self‑care mobile portal under 'Manage Services' and by texting 'ACT IR' to 199 at least 4 hours before departure. All claims are fully supported by the context and none are contradicted.,intfloat/multilingual-e5-base,openai/gpt-oss-20b,openai/gpt-oss-20b,2026-09-22T12:36:07.644677+00:00,2026-09-22T12:36:26.334134+00:00,
2,e1329dc4-f1e6-463d-8abe-19e546bea366,english_baseline,DEV-Q02,english,0,What documents are required for outward foreign currency wire transfers?,,0,[],,,,,,intfloat/multilingual-e5-base,llama3-8b-8192,llama-3.1-8b-instant,2026-09-16T12:28:12.614010+00:00,2026-09-16T12:28:22.828018+00:00,Groq API key is not configured. Please set GROQ_API_KEY in .env
5,dc927512-9805-451b-9590-6eab6aeed645,english_baseline,DEV-Q02,english,0,What documents are required for outward foreign currency wire transfers?,,0,[],,,,,,intfloat/multilingual-e5-base,llama3-8b-8192,llama-3.1-8b-instant,2026-09-22T12:13:43.948628+00:00,2026-09-22T12:13:44.095723+00:00,"An unexpected error occurred with Groq API: Error code: 400 - {'error': {'message': 'The model `llama3-8b-8192` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on which model to use instead.', 'type': 'invalid_request_error', 'code': 'model_decommissioned'}}"
23,4f9f64fe-6b6a-4b42-b253-3ac6269e78b9,english_baseline,DEV-Q02,english,0,What documents are required for outward foreign currency wire transfers?,,0,[],,,,,,intfloat/multilingual-e5-base,llama3-8b-8192,llama-3.1-8b-instant,2026-09-22T12:31:36.875153+00:00,2026-09-22T12:31:37.011614+00:00,"An unexpected error occurred with Groq API: Error code: 400 - {'error': {'message': 'The model `llama3-8b-8192` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on which model to use instead.', 'type': 'invalid_request_error', 'code': 'model_decommissioned'}}"
41,15c89ae8-d4e9-4ad6-9ac8-c2353db0b2dc,english_baseline,DEV-Q02,english,0,What documents are required for outward foreign currency wire transfers?,,0,"[""4a59037b0e30a112_c0"", ""7734bc2b7cac2e90_c9"", ""7734bc2b7cac2e90_c3"", ""7734bc2b7cac2e90_c8"", ""7734bc2b7cac2e90_c2""]","Please answer the following query based only on the context provided below.

<context>
--- Document 1 ---
What documents are required for outward foreign currency wire transfers?

Outward remittances under the Liberalised Remittance Scheme (LRS) require submission of Form A2, a signed declaration of remittance purpose, valid passport copy, recipient bank SWIFT code, and Permanent Account Number (PAN) card verification.

--- Document 2 ---
mission of authenticated family tax filings, bank declarations, and income verification documents.

## Section 4: Examination Conduct and Integrity Policy

--- Document 3 ---
ngual curricula must submit official transcripts translated into English by a certified authority.

## Section 2: Grading System and Academic Standing

--- Document 4 ---
ship annually, scholars must maintain a minimum CGPA of 3.60 and have zero disciplinary violations. Need-based financial assistance applications open annually on June 1st and require submission of authenticated family tax filings, bank declarations, and income verification documents.

--- Document 5 ---
3.0 out of 4.0 or an equivalent 75% aggregate in their secondary school certification examinations. International applicants whose primary medium of education was not English are required to present valid language proficiency scores: either an IELTS Academic overall band of at least 6.5 with no individual band below 6.0, or a TOEFL iBT score of 85 or above. Candidates from bilingual curricula must submit official transcripts translated into English by a certified authority.
</context>

Query: What documents are required for outward foreign currency wire transfers?
","Form A2, a signed declaration of remittance purpose, a valid passport copy, the recipient bank’s SWIFT code, and verification of the Permanent Account Number (PAN) card.",1.0,0,"All factual claims in the answer exactly match the information provided in Document 1 of the context. The answer lists the required documents—Form A2, signed declaration, valid passport copy, recipient bank SWIFT code, and PAN card verification—which are precisely the items specified in the context. No unsupported or contradictory statements are present.",intfloat/multilingual-e5-base,openai/gpt-oss-20b,openai/gpt-oss-20b,2026-09-22T12:36:26.847417+00:00,2026-09-22T12:36:29.113087+00:00,
3,1789273f-14a3-48de-b9e3-b592301d63b8,english_baseline,DEV-Q03,english,0,What is the procedure for converting a physical SIM card to an eSIM?,,0,[],,,,,,intfloat/multilingual-e5-base,llama3-8b-8192,llama-3.1-8b-instant,2026-09-16T12:28:23.371596+00:00,2026-09-16T12:28:32.412678+00:00,Groq API key is not configured. Please set GROQ_API_KEY in .env
6,7366a76c-17d5-4e84-9ef4-a954d5559235,english_baseline,DEV-Q03,english,0,What is the procedure for converting a physical SIM card to an eSIM?,,0,[],,,,,,intfloat/multilingual-e5-base,llama3-8b-8192,llama-3.1-8b-instant,2026-09-22T12:13:44.640587+00:00,2026-09-22T12:13:44.772983+00:00,"An unexpected error occurred with Groq API: Error code: 400 - {'error': {'message': 'The model `llama3-8b-8192` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on which model to use instead.', 'type': 'invalid_request_error', 'code': 'model_decommissioned'}}"
